product_id,nome_prodotto,brand,categoria_prodotto,peso (g),nuova_categoria_prodotto
P001,Caffè Arabica Premium,Aroma Perfetto,Bevande Calde,500,NULL
P002,Tè Verde Sencha,Zen Leaf,Bevande Calde,150,Tisane e Infusi
P003,Latte Fresco Intero,Latteria Reale,Latticini,1000,NULL
P004,Yogurt Naturale Greco,Miti Greci,Latticini,200,Alimenti Funzionali
P005,Pasta di Grano Duro,Grano D'Oro,Pasta e Riso,500,NULL
P006,Riso Basmati,Oriente Express,Pasta e Riso,1000,NULL
P007,Olio Extra Vergine,Oro Verde,Condimenti,750,NULL
P008,Sale Marino Grosso,Cristallo Blu,Condimenti,1000,NULL
P009,Biscotti al Cioccolato,Dolce Tentazione,Dolciumi,300,NULL
P010,Marmellata di Fragole,Frutta Viva,Colazione,400,NULL
P011,Acqua Minerale Naturale,Fonte Chiara,Bevande Fredde,1500,NULL
P012,Birra Artigianale IPA,Luppolo Matto,Bevande Alcoliche,500,NULL
P013,Detersivo Lavatrice,Pulito Brillante,Pulizia Casa,2000,Detergenza Tessuti
P014,Shampoo Delicato,Capelli Sani,Cura della Persona,250,NULL
P015,Dentifricio Menta,Sorriso Fresco,Cura della Persona,75,NULL
P016,Tovaglioli di Carta,Festa e Casa,Casa e Ufficio,100,Accessori per la Tavola
P017,Penne Gel Nere,Scrittura Facile,Casa e Ufficio,20,NULL
P018,Petto di Pollo Fresco,Carni Scelte,Carni e Pesce,500,NULL
P019,Salmone Affumicato,Mare del Nord,Carni e Pesce,150,NULL
P020,Zucchine Biologiche,Orto Sincero,Frutta e Verdura,700,NULL
P021,Mele Rosse Fuji,Dolce Raccolta,Frutta e Verdura,1000,Frutta Fresca
P022,Pane Integrale,Forno Antico,Panetteria,400,NULL
P023,Croissant Vuoti,Mattina Felice,Panetteria,60,NULL
P024,Cioccolato Fondente 80%,Amaro Sublime,Dolciumi,100,NULL
P025,Vino Rosso Chianti,Vigneto Nobile,Bevande Alcoliche,750,Vini Rossi
P026,Succo d'Arancia,Sole di Sicilia,Bevande Fredde,1000,NULL
P027,Sapone Mani Lavanda,Essenze Pure,Cura della Persona,300,NULL
P028,Candela Profumata Vaniglia,Luce Soffice,Pulizia Casa,150,NULL
P029,Patatine Fritte Classiche,Snack Croccante,Snack,150,NULL
P030,Hummus di Ceci,Mondo Vegano,Alimenti Freschi,200,Alimenti Vegani
